Watched,Original Title,IMDb Rating,Runtime (mins),Year,Genres,URL
False,Jackie Brown,7.5,154,1997,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0119396/
False,Judgment at Nuremberg,8.3,179,1961,"Drama, War",https://www.imdb.com/title/tt0055031/
False,Krull,6.1,116,1983,"Action, Adventure, Fantasy, Sci-Fi",https://www.imdb.com/title/tt0085811/
False,Lawrence of Arabia,8.3,218,1962,"Adventure, Biography, Drama, War",https://www.imdb.com/title/tt0056172/
False,Lucie Aubrac,6.6,115,1997,"Biography, Drama, War",https://www.imdb.com/title/tt0119586/
False,M - Eine Stadt sucht einen Mörder,8.3,117,1931,"Crime, Mystery, Thriller",https://www.imdb.com/title/tt0022100/
False,Mary and Max.,8.1,92,2009,"Animation, Comedy, Drama",https://www.imdb.com/title/tt0978762/
False,Mean Streets,7.2,112,1973,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0070379/
False,Salinui chueok,8.1,131,2003,"Crime, Drama, Mystery, Thriller",https://www.imdb.com/title/tt0353969/
False,Metropolis,8.3,153,1927,"Drama, Sci-Fi",https://www.imdb.com/title/tt0017136/
False,Midnight Express,7.5,121,1978,"Biography, Crime, Drama, Thriller",https://www.imdb.com/title/tt0077928/
False,Modern Times,8.5,87,1936,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0027977/
False,Vivre sa vie: Film en douze tableaux,7.8,80,1962,Drama,https://www.imdb.com/title/tt0056663/
False,Natural Born Killers,7.2,119,1994,"Action, Crime, Romance",https://www.imdb.com/title/tt0110632/
False,"New York, New York",6.6,155,1977,"Drama, Music, Musical",https://www.imdb.com/title/tt0076451/
False,Oblivion,7.0,124,2013,"Action, Adventure, Sci-Fi",https://www.imdb.com/title/tt1483013/
False,North by Northwest,8.3,136,1959,"Action, Adventure, Mystery, Thriller",https://www.imdb.com/title/tt0053125/
False,Oldeuboi,8.3,120,2003,"Action, Drama, Mystery, Thriller",https://www.imdb.com/title/tt0364569/
False,C'era una volta il West,8.5,166,1968,"Drama, Western",https://www.imdb.com/title/tt0064116/
False,Once Upon a Time in... Hollywood,7.6,161,2019,"Comedy, Drama",https://www.imdb.com/title/tt7131622/
False,El laberinto del fauno,8.2,118,2006,"Drama, Fantasy, War",https://www.imdb.com/title/tt0457430/
False,Panic Room,6.8,112,2002,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0258000/
False,Paths of Glory,8.4,88,1957,"Drama, War",https://www.imdb.com/title/tt0050825/
False,Perfect Days,7.9,124,2023,Drama,https://www.imdb.com/title/tt27503384/
False,Planet Terror,7.0,105,2007,"Action, Comedy, Horror, Thriller",https://www.imdb.com/title/tt1077258/
False,Gake no ue no Ponyo,7.6,101,2008,"Animation, Adventure, Comedy, Family, Fantasy",https://www.imdb.com/title/tt0876563/
False,Kurenai no buta,7.7,94,1992,"Animation, Adventure, Comedy, Fantasy",https://www.imdb.com/title/tt0104652/
False,Psycho,8.5,109,1960,"Horror, Mystery, Thriller",https://www.imdb.com/title/tt0054215/
False,Raging Bull,8.1,129,1980,"Biography, Drama, Sport",https://www.imdb.com/title/tt0081398/
False,Poor Things,7.9,141,2023,"Comedy, Drama, Romance, Sci-Fi",https://www.imdb.com/title/tt14230458/
False,Ramayana: The Legend of Prince Rama,9.2,135,1993,"Animation, Action, Adventure, Drama, Fantasy, Musical, Romance",https://www.imdb.com/title/tt0259534/
False,Rebecca,8.1,130,1940,"Drama, Mystery, Romance, Thriller",https://www.imdb.com/title/tt0032976/
False,Rear Window,8.5,112,1954,"Mystery, Thriller",https://www.imdb.com/title/tt0047396/
False,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,7.6,142,2019,"Documentary, Biography, History, Music",https://www.imdb.com/title/tt9577852/
False,Shichinin no samurai,8.6,207,1954,"Action, Drama",https://www.imdb.com/title/tt0047478/
False,Smile,6.5,115,2022,"Horror, Mystery, Thriller",https://www.imdb.com/title/tt15474916/
False,Snatch,8.2,104,2000,"Comedy, Crime",https://www.imdb.com/title/tt0208092/
False,Singin' in the Rain,8.3,103,1952,"Comedy, Musical, Romance",https://www.imdb.com/title/tt0045152/
False,Some Like It Hot,8.2,121,1959,"Comedy, Music, Romance",https://www.imdb.com/title/tt0053291/
False,Speak No Evil,6.6,97,2022,"Drama, Horror, Thriller",https://www.imdb.com/title/tt14253846/
False,Sunset Blvd.,8.4,110,1950,"Drama, Film-Noir",https://www.imdb.com/title/tt0043014/
False,Estiu 1993,7.1,97,2017,"Drama, Family",https://www.imdb.com/title/tt5897636/
False,The Terminator,8.1,107,1984,"Action, Adventure, Sci-Fi",https://www.imdb.com/title/tt0088247/
False,Terminator 2: Judgment Day,8.6,137,1991,"Action, Adventure, Sci-Fi",https://www.imdb.com/title/tt0103064/
False,Terminator 3: Rise of the Machines,6.3,109,2003,"Action, Sci-Fi",https://www.imdb.com/title/tt0181852/
False,Terminator Salvation,6.5,115,2009,"Action, Adventure, Sci-Fi",https://www.imdb.com/title/tt0438488/
False,Terminator Genisys,6.3,126,2015,"Action, Adventure, Sci-Fi, Thriller",https://www.imdb.com/title/tt1340138/
False,Terminator: Dark Fate,6.2,128,2019,"Action, Adventure, Sci-Fi",https://www.imdb.com/title/tt6450804/
False,Terminator: Skynet Rising,-1.0,-1,2024,"Action, Horror, Sci-Fi",https://www.imdb.com/title/tt27534073/
False,The Age of Innocence,7.2,139,1993,"Drama, Romance",https://www.imdb.com/title/tt0106226/
False,The Bridge on the River Kwai,8.1,161,1957,"Adventure, Drama, War",https://www.imdb.com/title/tt0050212/
False,The Elephant Man,8.2,124,1980,"Biography, Drama",https://www.imdb.com/title/tt0080678/
False,The Father,8.2,97,2020,"Drama, Mystery",https://www.imdb.com/title/tt10272386/
False,The Game,7.7,129,1997,"Drama, Mystery, Thriller",https://www.imdb.com/title/tt0119174/
False,Akinjeon,6.9,109,2019,"Action, Crime, Thriller",https://www.imdb.com/title/tt10208198/
False,The Girl in the Spider's Web,6.1,115,2018,"Action, Adventure, Crime, Drama, Mystery, Thriller",https://www.imdb.com/title/tt5177088/
False,The Great Dictator,8.4,125,1940,"Comedy, Drama, War",https://www.imdb.com/title/tt0032553/
False,Ah-ga-ssi,8.1,145,2016,"Drama, Romance, Thriller",https://www.imdb.com/title/tt4016934/
False,Jagten,8.3,115,2012,Drama,https://www.imdb.com/title/tt2106476/
False,De uskyldige,7.0,117,2021,"Drama, Fantasy, Horror, Mystery, Thriller",https://www.imdb.com/title/tt4028464/
