Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
28,tt0052618,2024-06-16,2024-06-16,,"Ben-Hur","Ben-Hur",https://www.imdb.com/title/tt0052618/,Movie,8.1,212,1959,"Adventure, Drama",254611,1963-11-18,"William Wyler",,
29,tt8267604,2024-06-16,2024-06-16,,"Kefernahum","Capharnaüm",https://www.imdb.com/title/tt8267604/,Movie,8.4,126,2018,"Drama",106566,2019-01-25,"Nadine Labaki",,
30,tt1014763,2024-06-16,2024-06-16,,"44. Çocuk","Child 44",https://www.imdb.com/title/tt1014763/,Movie,6.4,137,2015,"Crime, Drama, History, Mystery, Thriller",76015,2015-05-08,"Daniel Espinosa",,
31,tt0109424,2024-06-16,2024-06-16,,"Chungking Ekspresi","Chung Hing sam lam",https://www.imdb.com/title/tt0109424/,Movie,8.0,102,1994,"Comedy, Crime, Drama, Mystery, Romance",96752,1994-07-14,"Kar-Wai Wong",,
32,tt0095765,2024-06-16,2024-06-16,,"Cennet Sineması","Nuovo Cinema Paradiso",https://www.imdb.com/title/tt0095765/,Movie,8.5,174,1988,"Drama, Romance",284506,1990-09-21,"Giuseppe Tornatore",,
33,tt0033467,2024-06-16,2024-06-16,,"Yurttaş Kane","Citizen Kane",https://www.imdb.com/title/tt0033467/,Movie,8.3,119,1941,"Drama, Mystery",467558,1941-09-05,"Orson Welles",,
34,tt0091251,2024-06-16,2024-06-16,,"Gel ve Gör","Idi i smotri",https://www.imdb.com/title/tt0091251/,Movie,8.4,142,1985,"Drama, Thriller, War",98629,1997-05-30,"Elem Klimov",,
35,tt1028528,2024-06-16,2024-06-16,,"Ölüm Geçirmez","Death Proof",https://www.imdb.com/title/tt1028528/,Movie,7.0,127,2007,"Action, Drama, Thriller",315259,2007-06-15,"Quentin Tarantino",,
36,tt0112851,2024-06-16,2024-06-16,,"Desperado","Desperado",https://www.imdb.com/title/tt0112851/,Movie,7.1,104,1995,"Action, Crime, Drama, Thriller, Western",198395,1996-02-23,"Robert Rodriguez",,
37,tt0036775,2024-06-16,2024-06-16,,"Çifte Tazminat","Double Indemnity",https://www.imdb.com/title/tt0036775/,Movie,8.3,107,1944,"Crime, Drama, Film-Noir, Mystery, Thriller",168175,1944-09-06,"Billy Wilder",,
38,tt0363163,2024-06-16,2024-06-16,,"Çöküş","Der Untergang",https://www.imdb.com/title/tt0363163/,Movie,8.2,156,2004,"Biography, Drama, History, War",376661,2005-03-25,"Oliver Hirschbiegel",,
39,tt0057012,2024-06-16,2024-06-16,,"Garip Doktor","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",https://www.imdb.com/title/tt0057012/,Movie,8.3,95,1964,"Comedy, War",520239,1964-01-29,"Stanley Kubrick",,
40,tt0765443,2024-06-16,2024-06-16,,"Şark Vaatleri","Eastern Promises",https://www.imdb.com/title/tt0765443/,Movie,7.6,100,2007,"Crime, Drama, Thriller",262360,2007-11-30,"David Cronenberg",,
41,tt1535108,2024-06-16,2024-06-16,,"Elysium: Yeni Cennet","Elysium",https://www.imdb.com/title/tt1535108/,Movie,6.6,109,2013,"Action, Drama, Sci-Fi, Thriller",472644,2013-08-09,"Neill Blomkamp",,
42,tt0120663,2024-06-16,2024-06-16,,"Gözü Tamamen Kapalı","Eyes Wide Shut",https://www.imdb.com/title/tt0120663/,Movie,7.5,159,1999,"Drama, Mystery, Thriller",377393,1999-10-22,"Stanley Kubrick",,
43,tt0154506,2024-06-16,2024-06-16,,"Takip","Following",https://www.imdb.com/title/tt0154506/,Movie,7.4,69,1998,"Crime, Mystery, Thriller",102327,1999-11-05,"Christopher Nolan",,
44,tt0113101,2024-06-16,2024-06-16,,"Dört Oda","Four Rooms",https://www.imdb.com/title/tt0113101/,Movie,6.7,98,1995,"Comedy",111451,1996-09-13,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino, Chuck Jones",,
45,tt0116367,2024-06-16,2024-06-16,,"Günbatımından şafağa","From Dusk Till Dawn",https://www.imdb.com/title/tt0116367/,Movie,7.2,108,1996,"Action, Crime, Horror",342506,1996-11-15,"Robert Rodriguez",,
46,tt0049261,2024-06-16,2024-06-16,,"Devlerin Aşkı","Giant",https://www.imdb.com/title/tt0049261/,Movie,7.6,201,1956,"Drama, Western",42398,1957-12-19,"George Stevens",,
47,tt0172495,2024-06-16,2024-06-16,,"Gladyatör","Gladiator",https://www.imdb.com/title/tt0172495/,Movie,8.5,155,2000,"Action, Adventure, Drama",1630230,2000-05-19,"Ridley Scott",,
48,tt8503618,2024-06-16,2024-06-16,,"Hamilton","Hamilton",https://www.imdb.com/title/tt8503618/,Movie,8.3,160,2020,"Biography, Drama, History, Musical",115034,2020-07-03,"Thomas Kail",,
49,tt0056058,2024-06-16,2024-06-16,,"Seppuku","Seppuku",https://www.imdb.com/title/tt0056058/,Movie,8.6,133,1962,"Action, Drama, Mystery",69617,1962-09-16,"Masaki Kobayashi",,
50,tt0102015,2024-06-16,2024-06-16,,"Hearts of Darkness: A Filmmaker's Apocalypse","Hearts of Darkness: A Filmmaker's Apocalypse",https://www.imdb.com/title/tt0102015/,Movie,8.1,96,1991,"Documentary",23409,1991-12-06,"Fax Bahr, George Hickenlooper, Eleanor Coppola",,
51,tt0113277,2024-06-16,2024-06-16,,"Büyük Hesaplaşma","Heat",https://www.imdb.com/title/tt0113277/,Movie,8.3,170,1995,"Action, Crime, Drama",723474,1996-03-01,"Michael Mann",,
52,tt0057565,2024-06-16,2024-06-16,,"Yüksek ve Alçak","Tengoku to jigoku",https://www.imdb.com/title/tt0057565/,Movie,8.4,143,1963,"Crime, Drama, Mystery, Thriller",53830,1963-03-01,"Akira Kurosawa",,
53,tt0347149,2024-06-16,2024-06-16,,"Yürüyen Şato","Hauru no ugoku shiro",https://www.imdb.com/title/tt0347149/,Movie,8.2,119,2004,"Animation, Adventure, Family, Fantasy",453314,2006-06-09,"Hayao Miyazaki",,
54,tt0044741,2024-06-16,2024-06-16,,"Yaşamak","Ikiru",https://www.imdb.com/title/tt0044741/,Movie,8.3,143,1952,"Drama",88200,1952-10-09,"Akira Kurosawa",,
55,tt1255953,2024-06-16,2024-06-16,,"İçimdeki Yangın","Incendies",https://www.imdb.com/title/tt1255953/,Movie,8.3,131,2010,"Drama, Mystery, War",203431,2011-04-29,"Denis Villeneuve",,
56,tt0087469,2024-06-16,2024-06-16,,"Kamçılı Adam","Indiana Jones and the Temple of Doom",https://www.imdb.com/title/tt0087469/,Movie,7.5,118,1984,"Action, Adventure",537526,1984-05-23,"Steven Spielberg",,
57,tt13405778,2024-06-16,2024-06-16,,"Ruhlar Bölgesi: Kırmızı Kapı","Insidious: The Red Door",https://www.imdb.com/title/tt13405778/,Movie,5.5,107,2023,"Horror, Mystery, Thriller",51738,2023-07-07,"Patrick Wilson",,
