Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
120,tt1675434,2024-06-16,2024-06-16,,"Can Dostum","Intouchables",https://www.imdb.com/title/tt1675434/,Movie,8.5,112,2011,"Comedy, Drama",934572,2012-05-11,"Olivier Nakache, Éric Toledano",,
121,tt0049406,2024-06-16,2024-06-16,,"Son darbe","The Killing",https://www.imdb.com/title/tt0049406/,Movie,7.9,84,1956,"Crime, Drama, Film-Noir, Thriller",98135,1956-06-06,"Stanley Kubrick",,
122,tt0405094,2024-06-16,2024-06-16,,"Başkalarının Hayatı","Das Leben der Anderen",https://www.imdb.com/title/tt0405094/,Movie,8.4,137,2006,"Drama, Mystery, Thriller",412223,2007-03-09,"Florian Henckel von Donnersmarck",,
123,tt0086066,2024-06-16,2024-06-16,,"Sokaktakiler","The Outsiders",https://www.imdb.com/title/tt0086066/,Movie,7.0,91,1983,"Crime, Drama",98505,1984-10-01,"Francis Ford Coppola",,
124,tt0063415,2024-06-16,2024-06-16,,"Tatlı budala","The Party",https://www.imdb.com/title/tt0063415/,Movie,7.4,99,1968,"Comedy, Romance",43952,1970-04-20,"Blake Edwards",,
125,tt0073000,2024-06-16,2024-06-16,,"Flåklypa Grand Prix","Flåklypa Grand Prix",https://www.imdb.com/title/tt0073000/,Movie,8.4,88,1975,"Animation, Comedy, Family, Sport",14385,1975-08-28,"Ivo Caprino",,
126,tt0119978,2024-06-16,2024-06-16,,"Yağmurcu","The Rainmaker",https://www.imdb.com/title/tt0119978/,Movie,7.2,135,1997,"Crime, Drama, Thriller",83303,1998-03-13,"Francis Ford Coppola",,
127,tt0031885,2024-06-16,2024-06-16,,"Kocası ve Aşığı","La règle du jeu",https://www.imdb.com/title/tt0031885/,Movie,7.9,110,1939,"Comedy, Drama",31468,1940-05-29,"Jean Renoir",,
128,tt0091670,2024-06-16,2024-06-16,,"Kurban","Offret",https://www.imdb.com/title/tt0091670/,Movie,7.9,149,1986,"Drama",31129,1986-05-09,"Andrei Tarkovsky",,
129,tt0167404,2024-06-16,2024-06-16,,"Altıncı His","The Sixth Sense",https://www.imdb.com/title/tt0167404/,Movie,8.2,107,1999,"Drama, Mystery, Thriller",1056568,2000-02-04,"M. Night Shyamalan",,
130,tt0070735,2024-06-16,2024-06-16,,"Belalılar","The Sting",https://www.imdb.com/title/tt0070735/,Movie,8.3,129,1973,"Comedy, Crime, Drama",280915,1983-02-10,"George Roy Hill",,
131,tt0040897,2024-06-16,2024-06-16,,"Altın Hazineleri","The Treasure of the Sierra Madre",https://www.imdb.com/title/tt0040897/,Movie,8.2,126,1948,"Adventure, Drama, Western",132903,1950-09-18,"John Huston",,
132,tt0046268,2024-06-16,2024-06-16,,"Dehşet yolcuları","Le salaire de la peur",https://www.imdb.com/title/tt0046268/,Movie,8.1,131,1953,"Adventure, Drama, Thriller",66982,1955-12,"Henri-Georges Clouzot",,
133,tt27487473,2024-06-16,2024-06-16,,"Dehşet Yolcuları","Le salaire de la peur",https://www.imdb.com/title/tt27487473/,Movie,4.6,104,2024,"Action, Adventure, Drama, Thriller",3180,2024-03-29,"Julien Leclercq",,
134,tt3007512,2024-06-16,2024-06-16,,"Son Umut","The Water Diviner",https://www.imdb.com/title/tt3007512/,Movie,7.0,111,2014,"Drama, History, War",78177,2014-12-26,"Russell Crowe",,
135,tt0032138,2024-06-16,2024-06-16,,"Oz Büyücüsü","The Wizard of Oz",https://www.imdb.com/title/tt0032138/,Movie,8.1,102,1939,"Adventure, Family, Fantasy, Musical",430502,1940-12-26,"Victor Fleming, King Vidor",,
136,tt0469494,2024-06-16,2024-06-16,,"Kan Dökülecek","There Will Be Blood",https://www.imdb.com/title/tt0469494/,Movie,8.2,158,2007,"Drama",644319,2008-02-15,"Paul Thomas Anderson",,
137,tt1596350,2024-06-16,2024-06-16,,"İyi Olan Kazansın","This Means War",https://www.imdb.com/title/tt1596350/,Movie,6.3,103,2012,"Action, Comedy, Romance",194618,2012-03-02,"McG",,
138,tt0056592,2024-06-16,2024-06-16,,"Bülbülü Öldürmek","To Kill a Mockingbird",https://www.imdb.com/title/tt0056592/,Movie,8.3,129,1962,"Crime, Drama",334098,1965-05-02,"Robert Mulligan",,
139,tt0046438,2024-06-16,2024-06-16,,"Tokyo Hikâyesi","Tôkyô monogatari",https://www.imdb.com/title/tt0046438/,Movie,8.1,136,1953,"Drama",69091,1953-11-03,"Yasujirô Ozu",,
140,tt0092099,2024-06-16,2024-06-16,,"Top Gun","Top Gun",https://www.imdb.com/title/tt0092099/,Movie,6.9,109,1986,"Action, Drama",506187,1987-01,"Tony Scott",,
141,tt1745960,2024-06-16,2024-06-16,,"Top Gun: Maverick","Top Gun: Maverick",https://www.imdb.com/title/tt1745960/,Movie,8.2,130,2022,"Action, Drama",709274,2022-05-27,"Joseph Kosinski",,
142,tt0108399,2024-06-16,2024-06-16,,"Çılgın Romantik","True Romance",https://www.imdb.com/title/tt0108399/,Movie,7.9,119,1993,"Crime, Drama, Romance, Thriller",243572,1995-02-03,"Tony Scott",,
143,tt8652818,2024-06-16,2024-06-16,,"Violet Evergarden: The Movie","Gekijôban Vaioretto Evâgâden",https://www.imdb.com/title/tt8652818/,Movie,8.3,140,2020,"Animation, Drama, Fantasy, Romance",10436,2021-10-13,"Taichi Ishidate",,
144,tt16300962,2024-06-16,2024-06-16,,"Cuando acecha la maldad","Cuando acecha la maldad",https://www.imdb.com/title/tt16300962/,Movie,7.0,99,2023,"Horror",34756,2023-10-27,"Demián Rugna",,
145,tt0093342,2024-06-16,2024-06-16,,"Arkadaşın Evi Nerede?","Khane-ye doust kodjast?",https://www.imdb.com/title/tt0093342/,Movie,8.1,83,1987,"Drama, Family",18920,1987,"Abbas Kiarostami",,
146,tt0063803,2024-06-16,2024-06-16,,"Who's That Knocking at My Door","Who's That Knocking at My Door",https://www.imdb.com/title/tt0063803/,Movie,6.5,90,1967,"Drama",10183,1968-09-13,"Martin Scorsese",,
147,tt0051201,2024-06-16,2024-06-16,,"Beklenmeyen Şahit","Witness for the Prosecution",https://www.imdb.com/title/tt0051201/,Movie,8.4,116,1957,"Crime, Drama, Mystery, Thriller",138746,1960-11,"Billy Wilder",,
148,tt0050986,2024-06-16,2024-06-16,,"Yaban Çilekleri","Smultronstället",https://www.imdb.com/title/tt0050986/,Movie,8.1,91,1957,"Drama, Romance",115528,1957-12-26,"Ingmar Bergman",,
149,tt0443706,2024-06-16,2024-06-16,,"Zodiac","Zodiac",https://www.imdb.com/title/tt0443706/,Movie,7.7,157,2007,"Crime, Drama, Mystery, Thriller",601951,2007-05-18,"David Fincher",,
150,tt5311514,2024-06-16,2024-06-16,,"Senin Adın","Kimi no na wa.",https://www.imdb.com/title/tt5311514/,Movie,8.4,106,2016,"Animation, Drama, Fantasy, Romance",324504,2017-08-25,"Makoto Shinkai",,
151,tt0066593,2024-06-16,2024-06-16,,"Paralı askerler","You Can't Win 'Em All",https://www.imdb.com/title/tt0066593/,Movie,5.7,97,1970,"Action, Adventure, Comedy, War",1683,1970-07-24,"Peter Collinson",,
152,tt0481797,2024-06-16,2024-06-16,,"Geç gelen gençlik","Youth Without Youth",https://www.imdb.com/title/tt0481797/,Movie,6.1,124,2007,"Drama, Fantasy, Mystery, Romance, Sci-Fi",14257,2008-09-05,"Francis Ford Coppola",,
